kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
TNR/SNR,A742941,40272,STRAY,OTC,2023-08-04 00:00:00,STRAY,TNR,,2023-08-16 00:00:00,CAT,N,N,LARGE,BLACK / WHITE,DOMESTIC SH,40272,36208
C205,A743018,40229,STRAY,OTC,2023-08-05 00:00:00,STRAY,TRANSFER,KHS,2023-08-08 00:00:00,CAT,F,N,KITTN,BRN TABBY,DOMESTIC SH,40214,36209
TNR/SNR,A743165,40215,STRAY,OTC,2023-08-08 00:00:00,STRAY,SNR,,2023-08-10 00:00:00,CAT,N,N,LARGE,ORG TABBY,DOMESTIC SH / MIX,40215,36210
LOST,A743345,,LOST,WEB,2023-08-07 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,YORKSHIRE TERR,,36211
FOLLOWUP,A743436,40212,STRAY,OTC,2023-08-15 00:00:00,STRAY,EUTH,MEDICAL,2023-09-11 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40212,36212
N51,A743494,40223,FOSTER,RETURN,2023-10-09 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2023-10-11 00:00:00,CAT,N,N,KITTN,GRAY / WHITE,DOMESTIC SH,40223,36213
N39,A743505,40207,FOSTER,RETURN,2023-11-01 00:00:00,FOSTER RET,ADOPTION,FACEBOOK,2023-11-04 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40207,36214
309,A743540,40202,STRAY,OTC,2025-03-01 00:00:00,STRAY,RTO,IN KENNEL,2025-03-04 00:00:00,DOG,N,N,SMALL,BLACK / WHITE,BASSET HOUND / MIX,40203,36215
LOST,A743646,,LOST,WEB,2023-07-31 00:00:00,,,,,DOG,F,,MED,BLACK,AM PIT BULL TER,,36216
LOST,A765195,,LOST,WEB,2024-07-25 00:00:00,,,,,DOG,F,,SMALL,WHITE,CHIHUAHUA SH,,36217
NF1,A765487,40216,FOSTER,RETURN,2024-08-24 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-08-25 00:00:00,CAT,S,N,SMALL,TORTIE,DOMESTIC SH,40213,36218
TNR/SNR,A752538,40216,STRAY,OTC,2024-01-29 00:00:00,STRAY,SNR,,2024-01-31 00:00:00,CAT,S,N,MED,SLVR TABBY,DOMESTIC SH,40216,36219
FOSTER,A752543,40212,FOSTER,RETURN,2024-02-05 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-02-05 00:00:00,DOG,F,N,SMALL,TAN,CHIHUAHUA LH,40206,36220
C214,A761943,40211,STRAY,OTC,2024-06-08 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-06-15 00:00:00,CAT,S,N,KITTN,CALICO,DOMESTIC MH,40211,36221
N33,A761959,40272,STRAY,OTC,2024-11-18 00:00:00,STRAY,ADOPTION,INTERNET,2024-12-16 00:00:00,DOG,N,N,MED,BLACK / WHITE,PIT BULL,40213,36222
C133,A762029,40206,STRAY,OTC,2024-06-10 00:00:00,STRAY,SNR,,2024-07-03 00:00:00,CAT,N,N,MED,ORANGE,DOMESTIC SH,40206,36223
LOST,A762066,,LOST,WEB,2024-06-10 00:00:00,,,,,CAT,M,,,UNKNOWN,DOMESTIC SH,,36224
NF1,A762204,40218,FOSTER,RETURN,2024-08-14 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-08-16 00:00:00,CAT,N,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40241,36225
LOST,A762328,,LOST,WEB,2024-06-13 00:00:00,,,,,CAT,,,MED,UNKNOWN,DOMESTIC SH,40218,36226
LOST,A762589,,LOST,WEB,2024-06-14 00:00:00,,,,,DOG,M,,LARGE,BROWN,LABRADOR RETR,,36227
FOUND,A762771,,FOUND,WEB,2024-06-16 00:00:00,,,,,DOG,,,SMALL,BROWN,YORKSHIRE TERR,,36228
FOSTER,A762966,40272,FOSTER,RETURN,2024-09-13 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-09-13 00:00:00,DOG,S,N,LARGE,GRAY,PIT BULL,40272,36229
NF2,A762983,40272,STRAY,FIELD,2024-06-20 00:00:00,STRAY,ADOPTION,WALK IN,2024-07-13 00:00:00,CAT,S,N,SMALL,GRAY,DOMESTIC SH,40272,36230
TNR/OUT,A763093,40214,STRAY,OTC,2024-06-22 00:00:00,STRAY,SNR,,2024-06-26 00:00:00,CAT,N,N,SMALL,GRAY TABBY,DOMESTIC SH,40214,36231
LOST,A743656,,LOST,WEB,2023-08-19 00:00:00,,,,,DOG,F,,MED,BLACK,GERM SHEPHERD,,36232
FOUND,A743669,,FOUND,WEB,2023-08-21 00:00:00,,,,,DOG,,,MED,WHITE,PIT BULL,40212,36233
TNR/SNR,A743678,40204,STRAY,OTC,2023-08-21 00:00:00,STRAY,SNR,,2023-08-23 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40204,36234
DW05,A765274,40222,FOSTER,RETURN,2024-11-26 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-11-26 00:00:00,DOG,S,N,PUPPY,BROWN / WHITE,LABRADOR RETR / MIX,40222,36235
605,A752536,40291,STRAY,FIELD,2024-01-29 00:00:00,STRAY,EUTH,BEHAV OBSV,2024-02-07 00:00:00,DOG,M,N,MED,BLACK / BROWN,ROTTWEILER,40291,36236
506,A761881,40209,CONFISCATE,EVICTION,2024-06-07 00:00:00,STRAY,RTO,IN KENNEL,2024-06-07 00:00:00,DOG,F,N,MED,BR BRINDLE / WHITE,PIT BULL,40202,36237
N31,A761959,40258,STRAY,OTC,2024-06-08 00:00:00,STRAY,ADOPTION,WALK IN,2024-06-29 00:00:00,DOG,N,N,MED,BLACK / WHITE,PIT BULL,40272,36238
LOST,A762654,,LOST,WEB,2024-06-14 00:00:00,,,,,DOG,F,,MED,UNKNOWN,SIBERIAN HUSKY,,36239
C102,A762785,40215,STRAY,FIELD,2024-07-12 00:00:00,STRAY,RTF,,2024-08-21 00:00:00,CAT,S,N,MED,BRN TABBY / WHITE,DOMESTIC SH,40215,36240
C101,A762785,40215,STRAY,FIELD,2024-06-17 00:00:00,STRAY,SNR,,2024-06-29 00:00:00,CAT,S,N,MED,BRN TABBY / WHITE,DOMESTIC SH,40215,36241
C135,A762785,40215,STRAY,FIELD,2024-10-11 00:00:00,STRAY,EUTH,MEDICAL,2024-11-20 00:00:00,CAT,S,N,MED,BRN TABBY / WHITE,DOMESTIC SH,40215,36242
K109,A762943,40219,CONFISCATE,POLICE,2024-06-18 00:00:00,UNKNOWN,RTO,IN KENNEL,2024-06-20 00:00:00,DOG,N,N,TOY,BROWN,CHIHUAHUA SH,40215,36243
N20,A762966,40214,STRAY,FIELD,2024-06-19 00:00:00,STRAY,FOSTER,TO ADOPT,2024-07-01 00:00:00,DOG,S,N,LARGE,GRAY,PIT BULL,40214,36244
FOSTER,A763068,40216,STRAY,OTC,2024-06-21 00:00:00,STRAY,FOSTER,STRAY,2024-06-21 00:00:00,DOG,N,N,MED,RED / WHITE,AMER BULLDOG,40272,36245
N16,A763068,40272,FOSTER,RETURN,2024-10-15 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-10-26 00:00:00,DOG,N,N,MED,RED / WHITE,AMER BULLDOG,40272,36246
ACO UNIT,A763122,40241,STRAY,FIELD,2024-06-22 00:00:00,STRAY,EUTH,RABIESTEST,2024-06-22 00:00:00,OTHER,U,Y,SMALL,BROWN,BAT,40241,36247
LOST,A763135,,LOST,WEB,2024-06-22 00:00:00,,,,,CAT,F,,MED,UNKNOWN,BRITISH SH,,36248
LOST,A763140,,LOST,WEB,2024-06-23 00:00:00,,,,,DOG,F,,SMALL,WHITE,YORKSHIRE TERR,,36249
TNR/OUT,A763183,40216,STRAY,FIELD,2024-06-24 00:00:00,STRAY,SNR,,2024-06-26 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40216,36250
FOUND,A763273,,FOUND,WEB,2024-06-24 00:00:00,,,,,DOG,F,,SMALL,WHITE,SHIH TZU,40291,36251
FEEDERS VS,A763300,40229,FOSTER,RETURN,2024-07-19 00:00:00,STRAY,ADOPTION,FEEDERS VS,2024-07-28 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,40245,36252
N32,A739889,40214,STRAY,OTC,2023-06-27 00:00:00,STRAY,ADOPTION,WALK IN,2023-08-07 00:00:00,DOG,S,N,LARGE,TAN / WHITE,LABRADOR RETR,40245,36253
LOST,A740009,,LOST,WEB,2023-06-27 00:00:00,,,,,DOG,F,,MED,BROWN,GOLDEN RETR,,36254
C403,A740020,40272,STRAY,OTC,2023-06-28 00:00:00,STRAY,RTF,,2023-09-15 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40272,36255
N38,A740062,40204,STRAY,OTC,2023-06-29 00:00:00,ABANDON,ADOPTION,WALK IN,2023-07-07 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,DOMESTIC SH,40291,36256
FOSTER,A740126,40218,FOSTER,RETURN,2023-10-05 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-10-05 00:00:00,DOG,N,N,LARGE,TAN / WHITE,AMER BULLDOG,40206,36257
N39,A740251,40215,OWNER SUR,OTC,2023-07-01 00:00:00,STRAY,ADOPTION,WALK IN,2023-07-20 00:00:00,CAT,S,N,LARGE,BLACK / WHITE,DOMESTIC LH,40215,36258
C203,A740253,40215,OWNER SUR,OTC,2023-07-01 00:00:00,STRAY,TRANSFER,KHS,2023-07-03 00:00:00,CAT,F,N,KITTN,TORTIE,DOMESTIC MH,40215,36259
FOUND,A740267,,FOUND,WEB,2023-06-25 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,DOMESTIC SH,40204,36260
ACO UNIT,A740300,40245,STRAY,FIELD,2023-07-02 00:00:00,STRAY,EUTH,MEDICAL,2023-07-04 00:00:00,DOG,F,N,PUPPY,BLACK,LABRADOR RETR,40245,36261
FOSTER,A741128,40291,FOSTER,RETURN,2023-08-08 00:00:00,STRAY,TRANSFER,KHS,2023-08-08 00:00:00,CAT,M,N,KITTN,WHITE / GRAY,DOMESTIC SH,40299,36262
206,A747884,40203,FOSTER,RETURN,2024-05-18 00:00:00,FOSTER RET,EUTH,BEHAV OBSV,2024-05-22 00:00:00,DOG,S,N,LARGE,GRAY,AMERICAN STAFF,40203,36263
INTAKE,A747884,40218,FOSTER,RETURN,2024-02-27 00:00:00,FOSTER RET,ADOPTION,INTERNET,2024-02-27 00:00:00,DOG,S,N,LARGE,GRAY,AMERICAN STAFF,40203,36264
LOST,A751227,,LOST,WEB,2024-01-10 00:00:00,,,,,CAT,M,,MED,UNKNOWN,SIAMESE,,36265
ACO UNIT,A751263,40212,STRAY,FIELD,2024-01-10 00:00:00,STRAY,EUTH,INHUMANE,2024-01-10 00:00:00,DOG,M,N,PUPPY,BRN MERLE,PIT BULL,40212,36266
809,A751342,40215,STRAY,OTC,2024-01-12 00:00:00,STRAY,RTO,IN KENNEL,2024-01-19 00:00:00,DOG,N,N,LARGE,BL BRINDLE / BROWN,CANE CORSO,40208,36267
FOUND,A751368,,FOUND,WEB,2024-01-10 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,SKYE TERRIER,,36268
FOUND,A751397,,FOUND,WEB,2024-01-12 00:00:00,,,,,DOG,F,,SMALL,BLACK,PIT BULL,,36269
907,A751499,40203,FOSTER,RETURN,2024-02-27 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2024-03-06 00:00:00,DOG,N,N,MED,BLACK,PIT BULL,40214,36270
FOSTER,A751499,40214,FOSTER,RETURN,2024-04-27 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-04-27 00:00:00,DOG,N,N,MED,BLACK,PIT BULL,40214,36271
LOST,A751550,,LOST,WEB,2024-01-18 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,SIBERIAN HUSKY,,36272
INTAKE,A734579,40208,STRAY,OTC,2023-08-08 00:00:00,STRAY,TNR,CARETAKER,2023-08-10 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40208,36273
INTAKE,A734591,40214,STRAY,OTC,2023-08-09 00:00:00,STRAY,TNR,CARETAKER,2023-08-11 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40214,36274
INTAKE,A734629,40272,STRAY,OTC,2023-08-14 00:00:00,STRAY,TNR,CARETAKER,2023-08-16 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40272,36275
INTAKE,A734665,40118,STRAY,OTC,2023-08-22 00:00:00,STRAY,TNR,CARETAKER,2023-08-24 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40118,36276
INTAKE,A734760,40214,STRAY,OTC,2023-09-11 00:00:00,STRAY,TNR,CARETAKER,2023-09-13 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40229,36277
LOST,A734817,,LOST,WEB,2023-03-18 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,LABRADOR RETR,,36278
