kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
709,A712653,40211,FOSTER,RETURN,2022-06-22 00:00:00,STRAY,FOSTER,BEHAV OBSV,2022-06-22 00:00:00,DOG,S,N,MED,TAN,PIT BULL,40023,13316
902,A712653,40211,STRAY,FIELD,2022-03-16 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-04-03 00:00:00,DOG,S,N,MED,TAN,PIT BULL,40218,13317
DW07,A712775,40214,STRAY,FIELD,2022-03-19 00:00:00,STRAY,RTO,IN KENNEL,2022-03-24 00:00:00,DOG,N,N,MED,BLACK / BROWN,CHIHUAHUA SH / ALASKAN HUSKY,40299,13318
C410,A712792,40243,STRAY,OTC,2022-03-20 00:00:00,ABANDON,FOSTER,,2022-03-20 00:00:00,CAT,N,N,MED,GRAY TABBY,DOMESTIC LH,40228,13319
FREEZER,A712935,40215,STRAY,FIELD,2022-03-22 00:00:00,STRAY,DIED,ENROUTE,2022-03-27 00:00:00,DOG,F,N,MED,BR BRINDLE,LABRADOR RETR / MIX,40218,13320
TNR/SNR,A712936,40291,STRAY,OTC,2022-03-22 00:00:00,STRAY,TNR,CARETAKER,2022-03-24 00:00:00,CAT,N,N,MED,ORANGE,DOMESTIC SH,40291,13321
TNR/SNR,A727712,40291,STRAY,OTC,2022-11-19 00:00:00,STRAY,SNR,,2022-11-23 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40291,13322
VET,A712405,40215,STRAY,FIELD,2022-03-11 00:00:00,STRAY,EUTH,INHUMANE,2022-03-11 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40218,13323
NP,A712601,40213,STRAY,OTC,2022-03-15 00:00:00,STRAY,ADOPTION,INTERNET,2022-03-30 00:00:00,DOG,N,N,SMALL,TAN,CAIRN TERRIER / DACHSHUND,40204,13324
FREEZER,A712874,40211,STRAY,FIELD,2022-03-21 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2022-03-26 00:00:00,CAT,M,N,MED,BROWN / WHITE,DOMESTIC SH,40218,13325
FOUND,A712876,,FOUND,WEB,2022-03-21 00:00:00,,,,,DOG,M,,,BLACK / WHITE,BEAGLE,,13326
BARN,A709312,40208,STRAY,FIELD,2022-02-14 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2022-02-19 00:00:00,OTHER,M,N,SMALL,WHITE,RAT,40218,13327
NP,A709360,40216,STRAY,OTC,2022-02-15 00:00:00,STRAY,ADOPTION,WALK IN,2022-02-24 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,JACK RUSS TER / MIX,40216,13328
C116,A710393,40213,STRAY,OTC,2022-02-17 00:00:00,STRAY,RTF,,2022-03-02 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40217,13329
C125,A710753,40258,STRAY,OTC,2022-02-20 00:00:00,STRAY,EUTH,MEDICAL,2022-03-04 00:00:00,CAT,M,N,MED,ORG TABBY,DOMESTIC LH,40258,13330
FOUND,A710820,,FOUND,WEB,2022-02-21 00:00:00,,,,,DOG,F,,,BLACK / WHITE,BEAGLE,,13331
FREEZER,A710832,40203,OWNER SUR,FIELD,2022-02-22 00:00:00,AGG ANIMAL,EUTH,AGRESSION,2022-02-22 00:00:00,DOG,M,N,LARGE,BROWN / WHITE,PIT BULL,40203,13332
TNR/SNR,A710881,40222,STRAY,OTC,2022-02-23 00:00:00,STRAY,SNR,,2022-02-25 00:00:00,CAT,N,N,MED,BLK TABBY,DOMESTIC SH,40222,13333
FOLLOWUP,A710904,40205,STRAY,OTC,2022-02-24 00:00:00,STRAY,RTO,IN KENNEL,2022-03-04 00:00:00,DOG,S,N,MED,CHOCOLATE,LABRADOR RETR,40205,13334
C302,A710934,40220,STRAY,OTC,2022-02-25 00:00:00,STRAY,FOSTER,MEDICAL,2022-05-17 00:00:00,CAT,S,N,SMALL,TORTIE,DOMESTIC SH,40220,13335
LOST,A710955,,LOST,WEB,2022-02-02 00:00:00,,,,,DOG,F,,,UNKNOWN,PIT BULL,,13336
N42,A723461,40216,FOSTER,RETURN,2022-12-02 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-12-04 00:00:00,CAT,N,N,SMALL,GRAY TABBY,DOMESTIC SH,47172,13337
N32,A723539,40258,STRAY,OTC,2022-09-14 00:00:00,STRAY,ADOPTION,,2022-10-24 00:00:00,DOG,S,N,MED,FAWN / WHITE,STAFFORDSHIRE,40258,13338
511,A723701,40212,CONFISCATE,ABANDONED,2022-09-16 00:00:00,STRAY,EUTH,BEHAV OBSV,2022-12-07 00:00:00,DOG,M,N,LARGE,BLACK,ROTTWEILER,40216,13339
FOSTER,A723729,40207,STRAY,OTC,2022-09-16 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-09-21 00:00:00,CAT,S,N,SMALL,ORG TABBY,DOMESTIC SH,40242,13340
FOSTER,A723730,40207,STRAY,OTC,2022-09-16 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-09-21 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,40242,13341
FOLLOWUP,A708450,40217,STRAY,OTC,2022-01-24 00:00:00,STRAY,SNR,,2022-01-26 00:00:00,CAT,S,N,LARGE,GRAY TABBY,DOMESTIC SH,40217,13342
FOUND,A708752,,FOUND,WEB,2022-01-31 00:00:00,,,,,DOG,M,,MED,BLACK,BEAGLE,,13343
FOSTER,A700321,40210,STRAY,FIELD,2021-09-12 00:00:00,INJURED,TRANSFER,KHS,2021-09-17 00:00:00,DOG,F,N,TOY,BLACK / TAN,CHIHUAHUA SH,40210,13344
ACO UNIT,A700424,40207,STRAY,FIELD,2021-09-14 00:00:00,STRAY,EUTH,RABIESTEST,2021-09-14 00:00:00,OTHER,F,Y,SMALL,BROWN,BAT,40065,13345
LOST,A715580,,LOST,WEB,2022-05-06 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,JACK RUSS TERR,,13346
ID03,A715654,40258,STRAY,FIELD,2022-05-09 00:00:00,STRAY,RTO,IN KENNEL,2022-05-12 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,ALASKAN HUSKY,40258,13347
TNR/SNR,A715849,40211,STRAY,OTC,2022-05-11 00:00:00,STRAY,SNR,,2022-05-13 00:00:00,CAT,S,N,SMALL,CALICO,DOMESTIC SH,40219,13348
FOSTER,A715893,40203,OWNER SUR,OTC,2022-05-12 00:00:00,OWNER MED,FOSTER,STRAY,2022-05-12 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40203,13349
FOSTER,A715896,40203,OWNER SUR,OTC,2022-05-12 00:00:00,OWNER MED,FOSTER,TOO YOUNG,2022-05-12 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40203,13350
FOSTER,A715926,40258,STRAY,OTC,2022-05-12 00:00:00,STRAY,FOSTER,,2022-05-17 00:00:00,DOG,M,N,PUPPY,TAN,BASSET HOUND / MIX,40258,13351
N04,A716139,40299,STRAY,OTC,2022-05-17 00:00:00,STRAY,ADOPTION,WALK IN,2022-05-31 00:00:00,DOG,N,N,LARGE,BLACK,DOBERMAN PINSCH,40220,13352
LOST,A716153,,LOST,WEB,2022-05-05 00:00:00,,,,,DOG,F,,SMALL,WHITE,FRENCH BULLDOG,,13353
LOST,A716369,,LOST,WEB,2022-05-22 00:00:00,,,,,DOG,M,,MED,UNKNOWN,ENG BULLDOG,40291,13354
NP,A716370,40212,STRAY,OTC,2022-05-22 00:00:00,STRAY,ADOPTION,WALK IN,2022-06-27 00:00:00,DOG,N,N,MED,BLACK / WHITE,LABRADOR RETR / BOXER,40206,13355
N06,A702254,40212,STRAY,FIELD,2021-10-04 00:00:00,STRAY,ADOPTION,WALK IN,2021-10-31 00:00:00,DOG,S,N,LARGE,BR BRINDLE,LABRADOR RETR / BOXER,40218,13356
NF2,A702449,40214,FOSTER,RETURN,2021-11-22 00:00:00,STRAY,ADOPTION,INTERNET,2021-11-27 00:00:00,CAT,S,N,KITTN,ORG TABBY,DOMESTIC SH,40291,13357
N30,A702468,40218,OWNER SUR,FIELD,2021-10-07 00:00:00,WANTS OUT,ADOPTION,FRIEND,2021-10-19 00:00:00,DOG,N,N,SMALL,BR BRINDLE,BRUSS GRIFFON / PUG,40218,13358
N12,A702468,40208,RETURN,ADOPTION,2021-10-25 00:00:00,HOUSE SOIL,ADOPTION,WALK IN,2021-10-26 00:00:00,DOG,N,N,SMALL,BR BRINDLE,BRUSS GRIFFON / PUG,40208,13359
TNR/SNR,A702477,40212,STRAY,OTC,2021-10-08 00:00:00,STRAY,SNR,,2021-10-13 00:00:00,CAT,S,N,MED,TORTIE / WHITE,DOMESTIC MH,40219,13360
TNR/SNR,A702541,40218,STRAY,OTC,2021-10-09 00:00:00,STRAY,SNR,,2021-10-13 00:00:00,CAT,S,N,SMALL,BLUE,DOMESTIC SH,40165,13361
N40,A702597,40210,FOSTER,RETURN,2022-01-25 00:00:00,STRAY,ADOPTION,WALK IN,2022-01-28 00:00:00,CAT,S,N,MED,BRN TABBY,DOMESTIC SH,40218,13362
C208,A717462,40211,STRAY,OTC,2022-06-08 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-06-16 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC MH,40206,13363
TNR/SNR,A717513,40223,STRAY,OTC,2022-06-09 00:00:00,STRAY,SNR,,2022-06-15 00:00:00,CAT,N,N,MED,CHOCOLATE / WHITE,DOMESTIC SH / MIX,40223,13364
N44,A717558,40219,STRAY,OTC,2022-06-11 00:00:00,STRAY,ADOPTION,PRV ADOPT,2022-06-19 00:00:00,CAT,S,N,MED,TORTIE / ORG TABBY,DOMESTIC SH,40213,13365
FREEZER,A717590,OUT OF COUNTY,OWNER SUR,EUTH REQ,2022-06-12 00:00:00,EUTH MED,EUTH,REQUESTED,2022-06-12 00:00:00,CAT,F,N,LARGE,CALICO / BLK TABBY,DOMESTIC SH,40202,13366
104,A707462,40291,RETURN,ADOPTION,2022-01-26 00:00:00,NO TIME,TRANSPORT,RESCUE GRP,2022-02-05 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,LABRADOR RETR / MIX,40291,13367
N34,A707571,40212,STRAY,OTC,2021-12-30 00:00:00,STRAY,ADOPTION,WALK IN,2022-01-15 00:00:00,DOG,S,N,PUPPY,BROWN,GERM SHEPHERD / PIT BULL,40206,13368
ID10,A707589,40222,STRAY,FIELD,2021-12-31 00:00:00,STRAY,RTO,IN KENNEL,2022-01-01 00:00:00,DOG,S,N,LARGE,APRICOT,GOLDEN RETR,40222,13369
LOST,A707604,,LOST,WEB,2021-12-31 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC SH,,13370
DW15,A707628,40208,STRAY,OTC,2022-01-02 00:00:00,STRAY,RTO,IN KENNEL,2022-01-04 00:00:00,DOG,N,N,LARGE,YELLOW,LABRADOR RETR,40206,13371
K110B,A707635,40272,STRAY,OTC,2022-01-02 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-01-12 00:00:00,DOG,S,N,SMALL,BL BRINDLE / WHITE,JACK RUSS TER / MIX,40206,13372
N33,A707811,40241,FOSTER,RETURN,2022-01-26 00:00:00,STRAY,ADOPTION,WALK IN,2022-01-28 00:00:00,DOG,N,N,PUPPY,BLACK,LABRADOR RETR,40218,13373
DW17,A707827,40210,STRAY,FIELD,2022-01-07 00:00:00,STRAY,RTO,IN KENNEL,2022-01-11 00:00:00,DOG,N,N,LARGE,WHITE / BLACK,PIT BULL,40210,13374
N32,A708115,40212,STRAY,FIELD,2022-01-16 00:00:00,STRAY,ADOPTION,WALK IN,2022-01-29 00:00:00,DOG,S,N,PUPPY,WHITE / BLACK,PIT BULL,40208,13375
LOST,A708126,,LOST,WEB,2022-01-04 00:00:00,,,,,DOG,F,,LARGE,WHITE,BOXER,,13376
VET,A708349,40206,STRAY,FIELD,2025-04-20 00:00:00,OWNER MED,EUTH,INHUMANE,2025-04-25 00:00:00,DOG,N,N,TOY,WHITE,RAT TERRIER,40218,13377
FOSTER,A708351,40206,STRAY,FIELD,2025-04-20 00:00:00,OWNER MED,FOSTER,TIME/SPACE,2025-04-26 00:00:00,DOG,N,N,SMALL,WHITE,BEAGLE,40218,13378
FOSTER,A708421,40218,STRAY,FIELD,2022-01-23 00:00:00,STRAY,FOSTER,TIME/SPACE,2022-03-02 00:00:00,DOG,S,N,MED,WHITE / BLACK,PIT BULL / MIX,40218,13379
DW14,A695730,40204,STRAY,OTC,2022-01-24 00:00:00,STRAY,RTO,IN KENNEL,2022-01-25 00:00:00,DOG,N,N,MED,BLACK,BORDER COLLIE,40204,13380
FOSTER,A695924,40223,STRAY,OTC,2021-07-22 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-07-22 00:00:00,CAT,N,N,KITTN,BLACK / BROWN,DOMESTIC LH,40031,13381
N30,A696195,40272,STRAY,OTC,2021-07-28 00:00:00,STRAY,ADOPTION,INTERNET,2021-08-06 00:00:00,DOG,S,N,MED,BROWN,BOXER / MIX,47130,13382
ACO UNIT,A696272,40258,STRAY,FIELD,2021-07-29 00:00:00,STRAY,EUTH,INHUMANE,2021-07-29 00:00:00,DOG,F,Y,LARGE,BROWN / BLACK,AKITA,40218,13383
LOST,A712196,,LOST,WEB,2022-03-01 00:00:00,,,,,CAT,M,,SMALL,UNKNOWN,ABYSSINIAN,,13384
FOUND,A712215,,FOUND,WEB,2022-03-03 00:00:00,,,,,DOG,F,,,UNKNOWN,GERM SHEPHERD,,13385
FOUND,A712350,,FOUND,WEB,2022-03-08 00:00:00,,,,,CAT,M,,MED,WHITE,DOMESTIC MH,,13386
TNR/SNR,A712412,40212,STRAY,OTC,2022-03-11 00:00:00,STRAY,SNR,,2022-03-25 00:00:00,CAT,S,Y,MED,BLACK,DOMESTIC SH,40219,13387
FOSTER,A712514,40218,RETURN,,2022-03-14 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-04-06 00:00:00,DOG,N,N,PUPPY,WHITE / BLUE TIGER,PIT BULL / MIX,40218,13388
N14,A698507,40207,STRAY,FIELD,2021-08-23 00:00:00,STRAY,ADOPTION,WALK IN,2021-09-07 00:00:00,DOG,S,N,MED,BL BRINDLE / WHITE,PIT BULL,40211,13389
DW09,A699281,40229,STRAY,OTC,2021-09-01 00:00:00,STRAY,RTO,IN KENNEL,2021-09-09 00:00:00,DOG,S,N,SMALL,WHITE,MALTESE / MIX,40229,13390
TNR/SNR,A699769,40215,STRAY,OTC,2021-09-08 00:00:00,STRAY,SNR,,2021-09-09 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40214,13391
ID01,A700286,40229,STRAY,OTC,2021-11-05 00:00:00,STRAY,RTO,,2021-11-10 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,BEAGLE,40219,13392
NF1,A700376,40218,STRAY,OTC,2021-09-13 00:00:00,STRAY,ADOPTION,THIRDPARTY,2021-09-28 00:00:00,CAT,S,N,MED,GRAY / WHITE,DOMESTIC SH,40229,13393
INTAKE,A704898,40216,STRAY,OTC,2021-11-29 00:00:00,STRAY,TNR,CARETAKER,2021-12-01 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40216,13394
INTAKE,A704906,40228,STRAY,OTC,2021-11-29 00:00:00,STRAY,TNR,CARETAKER,2021-12-01 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40228,13395
INTAKE,A704934,40272,STRAY,OTC,2021-11-30 00:00:00,STRAY,TNR,CARETAKER,2021-12-02 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40272,13396
N31,A705003,40220,STRAY,OTC,2021-11-08 00:00:00,STRAY,ADOPTION,FRIEND,2021-11-17 00:00:00,DOG,N,N,PUPPY,BLACK,LABRADOR RETR / MIX,40220,13397
LOST,A705554,,LOST,WEB,2021-11-09 00:00:00,,,,,CAT,F,,MED,UNKNOWN,AMER SH,,13398
K101B,A705661,40204,STRAY,OTC,2021-11-13 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-11-19 00:00:00,DOG,N,N,MED,GRAY,POODLE MIN,40109,13399
DW15,A705663,40245,STRAY,OTC,2021-11-13 00:00:00,STRAY,ADOPTION,WALK IN,2021-11-29 00:00:00,DOG,S,N,MED,BROWN / WHITE,WH PT GRIFFON,40245,13400
LOST,A705705,,LOST,WEB,2021-11-14 00:00:00,,,,,DOG,M,,MED,UNKNOWN,PIT BULL,40211,13401
N03,A705736,40214,STRAY,OTC,2021-11-15 00:00:00,STRAY,ADOPTION,INTERNET,2021-11-24 00:00:00,DOG,N,N,PUPPY,WHITE / BLACK,BORDER COLLIE / MIX,40203,13402
TNR/SNR,A705794,40214,STRAY,OTC,2021-11-16 00:00:00,STRAY,SNR,,2021-11-18 00:00:00,CAT,S,N,SMALL,WHITE / BLACK,DOMESTIC SH,40214,13403
FOUND,A705833,,FOUND,WEB,2021-11-16 00:00:00,,,,,DOG,F,,MED,BLACK / BLACK,AUST SHEPHERD,,13404
TNR/SNR,A705862,40272,STRAY,OTC,2021-11-18 00:00:00,STRAY,SNR,,2021-11-24 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,40272,13405
C129,A705997,40218,STRAY,OTC,2021-11-22 00:00:00,STRAY,TRANSPORT,KHS,2021-12-11 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40218,13406
TNR/SNR,A706060,40228,STRAY,OTC,2021-11-23 00:00:00,STRAY,TNR,CARETAKER,2021-11-24 00:00:00,CAT,F,N,MED,TORTIE,DOMESTIC SH,40228,13407
412,A706167,40218,STRAY,,2021-11-28 00:00:00,STRAY,TRANSFER,KHS,2021-12-01 00:00:00,DOG,M,N,PUPPY,BLACK / WHITE,PIT BULL / PLOTT HOUND,40218,13408
412,A706169,40218,STRAY,,2021-11-28 00:00:00,STRAY,DIED,IN KENNEL,2021-11-28 00:00:00,DOG,M,N,PUPPY,BR BRINDLE / BROWN,PIT BULL / PLOTT HOUND,40218,13409
N36,A706194,40258,STRAY,FIELD,2021-11-29 00:00:00,STRAY,ADOPTION,WALK IN,2021-12-19 00:00:00,DOG,S,N,MED,BROWN / BLACK,BEAGLE / MIX,40258,13410
LOST,A708541,,LOST,WEB,2022-01-16 00:00:00,,,,,CAT,M,,SMALL,BLACK,DOMESTIC SH,,13411
C129,A708603,40215,STRAY,OTC,2022-01-29 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-02-09 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,40214,13412
FOUND,A708620,,FOUND,WEB,2022-01-23 00:00:00,,,,,CAT,F,,,UNKNOWN / WHITE,DOMESTIC SH,,13413
N35,A708708,40299,OWNER SUR,OTC,2022-02-01 00:00:00,RESPONSIBL,ADOPTION,WEB METRO,2022-02-05 00:00:00,DOG,S,N,SMALL,WHITE / BROWN,BEAGLE,40299,13414
LOST,A708714,,LOST,WEB,2022-02-01 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,GERM SHEPHERD,,13415
NECROPSY,A708767,40215,STRAY,FIELD,2022-02-03 00:00:00,STRAY,,,,DOG,M,N,PUPPY,BLACK / WHITE,PIT BULL,,13416
INTAKE,A708800,40299,STRAY,OTC,2022-03-15 00:00:00,STRAY,TNR,CARETAKER,2022-03-17 00:00:00,CAT,S,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40299,13417
TNR/SNR,A725413,40118,STRAY,OTC,2022-10-13 00:00:00,STRAY,SNR,,2022-10-19 00:00:00,CAT,N,N,SMALL,SLVR TABBY,DOMESTIC MH,40118,13418
210,A725545,40215,STRAY,OTC,2023-01-27 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-02-03 00:00:00,DOG,S,N,X-LRG,BR BRINDLE,GREAT DANE,40059,13419
ACO UNIT,A725557,40258,OWNER SUR,FIELD,2023-09-27 00:00:00,EUTH OTHER,EUTH,REQUESTED,2023-09-27 00:00:00,DOG,M,Y,MED,WHITE,PIT BULL / MIX,40258,13420
NP,A725663,40218,STRAY,OTC,2022-10-18 00:00:00,STRAY,ADOPTION,WALK IN,2022-10-29 00:00:00,DOG,S,N,MED,TAN / WHITE,BEAGLE / MIX,40272,13421
TNR/SNR,A725751,40118,STRAY,OTC,2022-10-19 00:00:00,STRAY,SNR,,2022-10-21 00:00:00,CAT,U,N,MED,GRAY TABBY,DOMESTIC SH,40118,13422
N16,A709278,40218,STRAY,OTC,2022-02-13 00:00:00,STRAY,ADOPTION,WALK IN,2022-03-12 00:00:00,DOG,N,N,LARGE,TAN / WHITE,BOXER / MIX,40299,13423
LOST,A709293,,LOST,WEB,2022-02-12 00:00:00,,,,,DOG,M,,,BLACK,GERM SHEPHERD,,13424
FOSTER,A709380,40215,STRAY,OTC,2022-02-15 00:00:00,STRAY,FOSTER,VACATION,2022-02-20 00:00:00,DOG,S,N,LARGE,BLACK / WHITE,NEWFOUNDLAND,40215,13425
610,A709661,40216,OWNER SUR,EUTH REQ,2022-06-11 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2022-06-22 00:00:00,DOG,N,Y,TOY,BROWN,FRENCH BULLDOG,40216,13426
N43,A710447,40222,OWNER SUR,FIELD,2022-02-18 00:00:00,TOO MANY,ADOPTION,WALK IN,2022-03-02 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40222,13427
LOST,A710858,,LOST,WEB,2022-02-23 00:00:00,,,,,DOG,F,,TOY,UNKNOWN,MALTESE,,13428
N18,A710960,40023,STRAY,OTC,2022-02-26 00:00:00,STRAY,ADOPTION,FRIEND,2022-03-05 00:00:00,DOG,N,N,LARGE,TAN,LABRADOR RETR,40067,13429
FOUND,A711002,,FOUND,WEB,2022-02-26 00:00:00,,,,,DOG,M,,MED,UNKNOWN,AM PIT BULL TER,,13430
N13,A723351,40212,STRAY,OTC,2022-09-12 00:00:00,STRAY,ADOPTION,WALK IN,2022-11-04 00:00:00,DOG,N,N,LARGE,BLACK,LABRADOR RETR / MIX,40212,13431
K106B,A723430,40291,FOSTER,RETURN,2025-04-28 00:00:00,FOSTER RET,ADOPTION,INTERNET,2025-04-28 00:00:00,DOG,S,N,SMALL,BR BRINDLE,BEAGLE / MIX,40291,13432
FOSTER,A723470,40216,STRAY,OTC,2022-09-13 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-09-20 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC MH,40272,13433
LOST,A723736,,LOST,WEB,2022-09-15 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,,13434
FOUND,A723803,,FOUND,WEB,2022-09-17 00:00:00,,,,,DOG,M,,LARGE,BROWN,BOXER,40213,13435
INTAKE,A704488,40229,STRAY,OTC,2022-03-30 00:00:00,STRAY,TNR,CARETAKER,2022-04-01 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40229,13436
TNR/SNR,A712638,40203,STRAY,OTC,2022-03-16 00:00:00,STRAY,SNR,,2022-03-18 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC SH,40219,13437
TNR/SNR,A712640,40203,STRAY,OTC,2022-03-16 00:00:00,STRAY,SNR,,2022-03-18 00:00:00,CAT,S,N,MED,BRN TABBY,DOMESTIC SH,40219,13438
802,A712681,40215,STRAY,OTC,2022-03-17 00:00:00,STRAY,RTO,IN KENNEL,2022-03-18 00:00:00,DOG,M,N,LARGE,BLUE / WHITE,PIT BULL / MIX,40206,13439
INTAKE,A712683,40245,OWNER SUR,EUTH REQ,2022-03-17 00:00:00,EUTH BEHAV,EUTH,REQUESTED,2022-03-17 00:00:00,DOG,N,N,LARGE,BROWN,POODLE STND,40245,13440
LOST,A712752,,LOST,WEB,2022-03-08 00:00:00,,,,,DOG,M,,SMALL,BLACK,SHIH TZU,,13441
TNR/SNR,A709226,40215,STRAY,OTC,2022-02-11 00:00:00,STRAY,SNR,,2022-02-16 00:00:00,CAT,S,N,LARGE,BLACK / BLACK,DOMESTIC SH,40219,13442
704,A709238,40216,STRAY,OTC,2022-02-11 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-02-23 00:00:00,DOG,S,N,PUPPY,WHITE / BLACK,PIT BULL / MIX,40023,13443
TNR/SNR,A710434,40212,STRAY,OTC,2022-02-18 00:00:00,STRAY,SNR,,2022-02-23 00:00:00,CAT,S,N,MED,CALICO,DOMESTIC SH,40219,13444
LOST,A710764,,LOST,WEB,2022-02-18 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,CHIHUAHUA LH,,13445
DW15,A710914,40258,STRAY,FIELD,2022-07-26 00:00:00,STRAY,EUTH,INHUMANE,2022-07-28 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40218,13446
LOST,A723359,,LOST,WEB,2022-09-09 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC SH,,13447
INTAKE,A723504,40206,STRAY,OTC,2022-09-13 00:00:00,STRAY,EUTH,INHUMANE,2022-09-13 00:00:00,CAT,U,N,LARGE,BR BRINDLE,DOMESTIC SH,40118,13448
503,A723542,40245,STRAY,OTC,2022-09-14 00:00:00,STRAY,FOSTER,VACATION,2022-12-11 00:00:00,DOG,S,N,LARGE,BL BRINDLE,CANE CORSO,40245,13449
FREEZER,A723981,40212,DISPOSAL,FIELD,2022-09-20 00:00:00,STRAY,DISPOSAL,STRAY,2022-09-20 00:00:00,DOG,U,N,SMALL,BR BRINDLE,PIT BULL,40218,13450
804,A724074,40203,STRAY,OTC,2022-09-21 00:00:00,STRAY,TRANSFER,KHS,2022-10-17 00:00:00,DOG,N,N,MED,BLACK / TRICOLOR,PIT BULL,40203,13451
TNR/SNR,A705631,40203,STRAY,OTC,2021-11-12 00:00:00,STRAY,SNR,,2021-11-17 00:00:00,CAT,S,N,MED,TORTIE / MUTED,DOMESTIC SH,40219,13452
612,A705689,40299,OWNER SUR,FIELD,2021-12-27 00:00:00,BITES,EUTH,REQUESTED,2022-01-12 00:00:00,DOG,N,Y,LARGE,BROWN / BLACK,BELG MALINOIS / MIX,40218,13453
N32,A705905,40213,STRAY,FIELD,2021-11-19 00:00:00,STRAY,ADOPTION,EVENT,2021-12-11 00:00:00,DOG,N,N,MED,BLACK / WHITE,PIT BULL,40213,13454
LOST,A705937,,LOST,WEB,2021-11-16 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,PIT BULL,40211,13455
N02,A706003,40214,STRAY,FIELD,2021-11-22 00:00:00,ABANDON,ADOPTION,WALK IN,2021-12-06 00:00:00,DOG,N,N,X-LRG,WHITE,GREAT PYRENEES,40214,13456
FOSTER,A706126,40215,STRAY,OTC,2021-11-26 00:00:00,STRAY,TRANSFER,KHS,2021-12-01 00:00:00,DOG,M,N,LARGE,BLACK / BROWN,ROTTWEILER,40208,13457
NP,A706487,40299,CONFISCATE,POLICE,2021-12-02 00:00:00,STRAY,ADOPTION,FACEBOOK,2021-12-10 00:00:00,DOG,S,N,PUPPY,CHOCOLATE,LABRADOR RETR,40218,13458
FOSTER,A706684,40218,FOSTER,RETURN,2021-12-09 00:00:00,FOSTER RET,ADOPTION,FRIEND,2021-12-10 00:00:00,DOG,S,N,SMALL,WHITE / TAN,BEAGLE / DACHSHUND WH,40218,13459
C409,A706692,40218,STRAY,OTC,2021-12-03 00:00:00,STRAY,SNR,,2021-12-15 00:00:00,CAT,S,N,MED,LYNX PT,DOMESTIC SH,40218,13460
FOSTER,A706732,40215,STRAY,FIELD,2021-12-05 00:00:00,STRAY,FOSTER,TOO OLD,2021-12-14 00:00:00,DOG,F,N,SMALL,WHITE / BLACK,CHIHUAHUA SH,40218,13461
